Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
ky <BACKSPACE3>l,1.696,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE8>qyi<BACKSPACE2>uickly be <BACKSPACE1>,1.264,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,30.447,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,3.384,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><MOUSECLICK>,7.92,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
it gives,1.231,end VP,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE8>th<BACKSPACE3>,2.063,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
te<BACKSPACE1>,1.488,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
h,3.631,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><MOUSECLICK>,1.968,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"<HIGHLIGHT 616:635><BACKSPACE1>, the n<BACKSPACE1>online setting provides a safe place",1.488,end NP,0,21,1,NA,1,NA,1,NA,NA,NA,NA,NA,11
<BACKSPACE1>,1.471,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,2.176,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE3>,26.143,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
the online <BACKSPACE11>,1.664,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
meetin<BACKSPACE6>online meetings,1.231,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
also grant,1.087,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
you the,3.167,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 790:824><BACKSPACE2>it alsoe<BACKSPACE2>o grants you the opr<BACKSPACE1>tiom <BACKSPACE2>n to opt out anytime,6.223,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK> vo<BACKSPACE2>comfortably <BACKSPACE1><MOUSECLICK><MOUSECLICK>,1.231,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>You can sit in your,1.088,mid PP,0,15,1,NA,1,NA,1,NA,NA,NA,NA,NA,11
<BACKSPACE5>,2.448,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
your,1.232,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<SPACE>,1.455,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE5>an apr<BACKSPACE1>rt<BACKSPACE2>artment in Shanghai,3.712,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
getting to know a person,25.199,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
from <BACKSPACE5>living,1.951,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
in,2.063,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
New Tork<BACKSPACE4>York!,1.808,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><BACKSPACE1>.,1.135,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><MOUSECLICK><MOUSECLICK>,26,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
without,4.784,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE9> you want.,2.023,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><RIGHT1><BACKSPACE4>,1.192,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,7.271,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
If you,3.184,end NP,3,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,11
<BACKSPACE25>at anytime. If yu<BACKSPACE1>ou w<BACKSPACE1>feel,8.016,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
uneasy,2.496,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"<BACKSPACE11>eet tha<BACKSPACE5>l thay their<BACKSPACE7>t heir <BACKSPACE5>their is no spark <BACKSPACE1>,",4.671,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE22>,2.175,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE2>no spark during the conversation,5.216,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE12>fr<BACKSPACE1>irst,1.296,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE3>,1.472,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
st dew<BACKSPACE3>few encou,2.111,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE6>,1.312,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"encountersm, <BACKSPACE3>,",7.863,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 924:936><BACKSPACE2>if,1.519,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>,1.736,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,5.895,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,1.296,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<RIGHT17><LEFT1><BACKSPACE21>an was<BACKSPACE3>easy way out,3.192,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><BACKSPACE2>.,1.656,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"<MOUSECLICK><RIGHT2>,",1.551,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,12.223,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>,6.735,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><BACKSPACE1>,1.376,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<SPACE>,3.407,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
The <BACKSPACE3>,1.056,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>One of the best thing p<BACKSPACE1>abpoti<BACKSPACE3>,1.456,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE25>,8.927,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
If you,12.799,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE7>,1.391,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
Being,1.199,mid NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
anonymous onlun<BACKSPACE2>ine,19.983,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 971:976><BACKSPACE1>,1.567,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
Y<BACKSPACE1>,2.223,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
You a<BACKSPACE1>can your date can <BACKSPACE4>,2.48,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE19>,1.216,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
Being <BACKSPACE1>,1.344,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<DOWN1>,5.383,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"<HIGHLIGHT 971:976><BACKSPACE1>In this case,",4.847,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><MOUSECLICK>,2.063,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 971:1001>,4.079,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK> being,1.712,end VP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,11
<MOUSECLICK>,1.343,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"has it <BACKSPACE1>s perks,",14.719,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 1023:971><BACKSPACE1><ENTER1>H<BACKSPACE2>,6.224,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Nevertheless, onluin<BACKSPACE3>ine meetings",3.343,end NP,0,9,2,NA,NA,NA,1,NA,NA,NA,NA,1,11
<BACKSPACE10> dates may,1.392,mid VP,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
lack certain aspect,5.247,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
s c<BACKSPACE1>,1.167,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"compared <BACKSPACE1> to offline ones, and",4.463,end NP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11
hold,5.807,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
caer<BACKSPACE2>r<BACKSPACE2>ertain risks,6.208,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
that you have to be aware of.,19.951,end sentence,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11
Technology has a<BACKSPACE1>i<BACKSPACE1>el<BACKSPACE1>volved so much that,3.407,end NP,0,24,1,NA,NA,NA,1,NA,NA,NA,NA,NA,11
every<BACKSPACE4>veryone,1.087,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE9>people can look totally different in real life,1.776,end sentence,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><MOUSECLICK>,2.736,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<RIGHT15> have a,2.367,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
brand new iden<BACKSPACE21>hold a,2.48,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"completely different identity, ot <BACKSPACE2>r",2.672,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 1189:1226><BACKSPACE1> physical appr<BACKSPACE1>earance,8.991,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
to t,2.688,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>,1.695,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
reakl <BACKSPACE3>l life.,20.408,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 1187:1185><BACKSPACE1>,1.648,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"<MOUSECLICK><BACKSPACE2>, so",11.824,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE5>.,8.472,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK> compared to <BACKSPACE4>,1.344,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,1.071,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
This,2.384,mid NP,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,11
may mislead to <BACKSPACE3>you to hold certain <BACKSPACE8>,4.096,end VP,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,11
e<BACKSPACE1>high expectations,10.623,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 1245:1279><MOUSECLICK><MOUSECLICK>,7.639,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
", in a mild case,",1.216,end PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<DOWN1>,1.151,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
that,1.279,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
won't be met,4.575,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE3>,1.767,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"et aftwewar<BACKSPACE5>erwards, or",1.008,end NP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11
more,2.223,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"severly<BACKSPACE2>rly<BACKSPACE2>e<BACKSPACE2>ely,",13.791,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
be scammed or,1.647,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE3>without knowl<BACKSPACE1>ing who the person behind the screen actually is.,7.999,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><BACKSPACE2><DOWN1>,14.543,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"Fr<BACKSPACE1>urthermore,",3.664,end NP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,11
getting<BACKSPACE7>getting to know a person,2.111,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE7>,1.248,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
potenti<BACKSPACE7>future <BACKSPACE5>ture live<BACKSPACE3>oe<BACKSPACE1>ve interest,2.055,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><LEFT1>ph,2.431,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE2>,1.312,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,1.816,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><LEFT1>phyts<BACKSPACE2>sci,2.991,mid word,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,11
<BACKSPACE2>uica<BACKSPACE4>ical attractions,1.423,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE2> does play a b,2.319,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
ig <BACKSPACE5>n imppor<BACKSPACE3>ortant,6.295,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 1428:1471>,1.384,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,5.103,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>.,1.624,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>physical attraction does play an important,1.983,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
a<BACKSPACE1>part when,1.343,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<SPACE>,4.575,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>.,1.455,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE2>,1.712,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
",",2.671,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<SPACE>,2.975,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
which caannot<BACKSPACE5>n,2.911,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
#t<BACKSPACE2>;t<BACKSPACE2>#t<BACKSPACE2>'t be<BACKSPACE1>e fulfu<BACKSPACE1>illed,12.528,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
via the Internet.,19.28,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>s,1.135,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
eeubf <BACKSPACE4>ing,1.711,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
each other,1.399,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
"<MOUSECLICK>Therefore, <BACKSPACE11>Si<BACKSPACE1>o in conclut<BACKSPACE1>sion, I believe that",2.287,end NP,0,0,NA,NA,NA,1,NA,1,1,NA,NA,1,11
online dates,3.871,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,11
hold,5.312,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"many advantages,",3.152,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
but,15.535,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
before,1.807,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE6>a person needs to m,1.935,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE10>still needs to physi<BACKSPACE5>phy<BACKSPACE4> meet <BACKSPACE5>see and <BACKSPACE4>the ot,1.487,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE3>i,1.023,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
r,8.687,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE34>couples still need to see each other in person,1.327,end sentence,0,38,1,NA,1,NA,1,NA,NA,NA,NA,NA,11
in the hope,1.168,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>,4.479,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE11>before getting serious,12.112,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
<UP1><RIGHT2><BACKSPACE3>ave,1.344,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<RIGHT5>,1.12,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE4>their<DOWN1>,4.047,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE1>.,5.991,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK>,1.432,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
to really,3.263,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
sh<BACKSPACE1>,1.327,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<BACKSPACE8>fully ep<BACKSPACE1>xplore their compa,2.112,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,11
tabolity<BACKSPACE5>ility,2.567,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<HIGHLIGHT 1756:1761><BACKSPACE2>m<BACKSPACE2>more invested in the relationship,1.28,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
<MOUSECLICK><MOUSECLICK>,1.751,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
One might consider that,1.055,end NP,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,12
in od<BACKSPACE1>rder for t<BACKSPACE1>,1.183,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"teo <BACKSPACE4>wo<BACKSPACE2>two people to better be able to connect, the first to<BACKSPACE2>couple of dates should happen online isntead <BACKSPACE7>nstead of in real lie<BACKSPACE1>fe. T<BACKSPACE1>While is <BACKSPACE3>this is a common",1.839,mid PP,0,11,1,2,NA,2,3,NA,NA,NA,NA,NA,12
<BACKSPACE1>,3.151,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"belief, there is in fact <BACKSPACE11>cam im <BACKSPACE5>n in fact be multiple opinions that can <BACKSPACE48>",2.383,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"<BACKSPACE31>This is in fac<BACKSPACE6>a fairly divisive opinion,",1.071,end sentence,0,37,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12
and,2.511,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
pop<BACKSPACE2>eople <BACKSPACE7>people tend to have strong opn<BACKSPACE1>inions ab<BACKSPACE3> about the bes <BACKSPACE1>t<BACKSPACE1>t method fo <BACKSPACE1>r connecting with strng<BACKSPACE2>angers and op<BACKSPACE2>potential partners. While,1.679,end NP,0,110,1,NA,NA,4,1,NA,NA,NA,NA,NA,12
<BACKSPACE1>,1.855,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<SPACE>,1.648,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
t<BACKSPACE3>e it is possible to <BACKSPACE5>e to lear<BACKSPACE4>begin c<BACKSPACE31>,1.488,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
i<BACKSPACE1>,2.72,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
While bt<BACKSPACE1>oth the ideas that one m<BACKSPACE1>,2.863,end NP,5,8,NA,1,1,NA,NA,NA,NA,1,NA,NA,12
should,1.072,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
have the first couple of dates online in order to get to the <BACKSPACE4>kno w a<BACKSPACE4>w a potential partner,1.599,end clause,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,12
",",3.887,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><BACKSPACE1>,2.351,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK><BACKSPACE2> and that one absolutely should have an in -<BACKSPACE2>0<BACKSPACE1>-person date first,3.727,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
"are common,",1.615,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
there fa<BACKSPACE2>,1.407,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE5>he rule is in fact not,1.712,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<BACKSPACE21>,3.856,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
re should be an allowance for additional flexibiliyt<BACKSPACE3>ity <BACKSPACE1>,1.055,end sentence,12,26,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12
. Rather than,1.263,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
pu<BACKSPACE15> <BACKSPACE1>a<BACKSPACE1>,1.088,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
A middle c<BACKSPACE1>groud <BACKSPACE2>d<BACKSPACE1>nd is more appropriate: every couple should decide what works best for them and,1.728,end NP,0,42,1,1,NA,2,2,NA,NA,NA,NA,NA,12
ha<BACKSPACE3> vho<BACKSPACE3>choo<BACKSPACE9>,1.536,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
.,2.664,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<MOUSECLICK>(potential_ <BACKSPACE2>),1.328,mid NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12
<MOUSECLICK>,2.159,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
<ENTER1>,3.455,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
Having a first date in person might not be,1.823,end VP,0,12,1,1,NA,NA,1,NA,1,NA,NA,NA,12
po<BACKSPACE1>ossible,2.896,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
"for a wide number of reasons. f<BACKSPACE1>For exampl,<BACKSPACE1>e,",4.896,end PP,28,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,12
"the two people might life far apart<BACKSPACE12>ve far apart from each other, making an in-person first date",1.76,end NP,0,0,1,1,NA,2,1,NA,1,NA,NA,NA,12
too diff,1.008,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12
icult or costly,2.175,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
. The couple might prefer to get to know e<BACKSPACE4>ow each other fi<BACKSPACE2>vid<BACKSPACE1>rtually before,1.695,end sentence,0,55,1,NA,NA,2,1,NA,NA,NA,NA,NA,12
"making the decision to meet in person, if t<BACKSPACE1>meeting in person would involve significant travel or costs<BACKSPACE8>tme<BACKSPACE2>ime or costs. a<BACKSPACE1>Aswe<BACKSPACE2> well, individuals might feel more comfortal<BACKSPACE1>ble",2.175,end sentence,41,27,NA,2,1,3,1,NA,1,NA,NA,NA,12
"beginning a relationship with online dates, as they",1.104,end NP,46,0,1,NA,1,NA,1,NA,NA,NA,NA,NA,12
might see<BACKSPACE3>feel lower-rish<BACKSPACE1>k. Thereo<BACKSPACE1> is thepo<BACKSPACE12>,1.056,mid word,2,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,12
